text,humor,pred,result,good,bad,accuracy,precision,recall,F1
basically we need a pandemic testing board with strong but narrow powers to get the supply chain moving with to billion in funding over two years depending on how effectively we do contact tracing plus unexpanded health reserves,FALSE,FALSE,good,,,,,,
it s a wartime level investment that we are more than capable of and it costs a lot less than repeatedly shutting down the economy in both lives and money,FALSE,FALSE,good,,,,,,
we ve done our homework on this so check it out along with the body of supporting work if you are interested,FALSE,FALSE,good,,,,,,
and people across disciplines and ideologies agree on this plan,FALSE,FALSE,good,,,,,,
we can do this,FALSE,FALSE,good,,,,,,
you can do this,FALSE,FALSE,good,,,,,,
connect with your communities look for ways to be involved or create them where you are,FALSE,FALSE,good,,,,,,
this is for real and i ve never felt so encouraged and hopeful,FALSE,FALSE,good,,,,,,
everyone i ve worked with on this project has jumped in to say what can i do,FALSE,FALSE,good,,,,,,
how can i help,FALSE,FALSE,good,,,,,,
people who disagree on everything else and who would ordinarily refuse to be in a room together are working together on this,FALSE,FALSE,good,,,,,,
in ways i would have never ever expected possible,FALSE,FALSE,good,,,,,,
it s kind of miraculous and i wanted you to know i wanted you to know it is real that if you see it on the news with some big institutional names attached claiming all those good stuff about partnership and cooperation i ve been in the room with these folks i mean virtually in the room but you know and it is true,FALSE,FALSE,good,,,,,,
people are working together,FALSE,FALSE,good,,,,,,
they are deciding together that we can do this and we can,FALSE,FALSE,good,,,,,,
if you are the hashtagging profile picturing type let me tell you hashtag how we reopen,FALSE,FALSE,good,,,,,,
we ve got icons to see the links below like pandemictesting org,FALSE,TRUE,bad,,,,,,
let people know including your local leaders and elected officials that they should take a look at this report sooner rather than later,FALSE,FALSE,good,,,,,,
i mean we have already got a lot of momentum but things are moving so fast with this pandemic,FALSE,FALSE,good,,,,,,
we could use all the momentum we can get and i m pretty sure time is not obeying the laws of physics right now so yeah your help would be appreciated,FALSE,FALSE,good,,,,,,
okay that is all for today,FALSE,TRUE,bad,,,,,,
i send my best to you and i m looking forward to seeing the future you help create,FALSE,FALSE,good,,,,,,
